year,site,county,plot,week,days_after_transplant,cultivar,wet_hours_week,night_temp_c,rain_mm_week,inoculum_log,infection_event
2016,S01,Manatee,S01-2016-P1,1,7,Sebring,37.3,18.7,48.5,2.62,0
2016,S01,Manatee,S01-2016-P1,2,14,Sebring,22.6,18.9,29.0,2.62,0
2016,S01,Manatee,S01-2016-P1,3,21,Sebring,30.2,17.57,30.7,2.62,0
2016,S01,Manatee,S01-2016-P1,4,28,Sebring,30.8,18.08,39.9,2.62,0
2016,S01,Manatee,S01-2016-P1,5,35,Sebring,26.3,19.47,49.1,2.62,0
2016,S01,Manatee,S01-2016-P1,6,42,Sebring,29.7,20.65,33.1,2.62,0
2016,S01,Manatee,S01-2016-P1,7,49,Sebring,28.7,18.79,34.2,2.62,0
2016,S01,Manatee,S01-2016-P1,8,56,Sebring,26.8,18.28,27.4,2.62,0
2016,S01,Manatee,S01-2016-P1,9,63,Sebring,29.7,18.05,38.9,2.62,0
2016,S01,Manatee,S01-2016-P1,10,70,Sebring,15.6,18.71,29.7,2.62,0
2016,S01,Manatee,S01-2016-P1,11,77,Sebring,26.0,16.12,42.3,2.62,0
2016,S01,Manatee,S01-2016-P1,12,84,Sebring,30.0,20.05,18.6,2.62,0
2016,S01,Manatee,S01-2016-P2,1,7,Sebring,30.0,19.64,50.6,0.49,0
2016,S01,Manatee,S01-2016-P2,2,14,Sebring,38.9,19.66,36.7,0.49,0
2016,S01,Manatee,S01-2016-P2,3,21,Sebring,29.1,19.1,29.5,0.49,0
2016,S01,Manatee,S01-2016-P2,4,28,Sebring,40.3,18.74,34.9,0.49,0
2016,S01,Manatee,S01-2016-P2,5,35,Sebring,36.8,22.81,36.5,0.49,0
2016,S01,Manatee,S01-2016-P2,6,42,Sebring,36.8,19.93,31.6,0.49,0
2016,S01,Manatee,S01-2016-P2,7,49,Sebring,27.6,18.62,46.6,0.49,0
2016,S01,Manatee,S01-2016-P2,8,56,Sebring,31.3,19.03,34.8,0.49,0
2016,S01,Manatee,S01-2016-P2,9,63,Sebring,29.4,21.97,24.9,0.49,0
2016,S01,Manatee,S01-2016-P2,10,70,Sebring,26.5,18.76,33.5,0.49,0
2016,S01,Manatee,S01-2016-P2,11,77,Sebring,19.5,18.08,39.1,0.49,0
2016,S01,Manatee,S01-2016-P2,12,84,Sebring,27.9,17.45,29.3,0.49,0
2016,S01,Manatee,S01-2016-P3,1,7,Sanibel,37.6,17.59,54.0,2.2,0
2016,S01,Manatee,S01-2016-P3,2,14,Sanibel,24.9,18.33,42.6,2.2,0
2016,S01,Manatee,S01-2016-P3,3,21,Sanibel,35.1,21.3,21.3,2.2,0
2016,S01,Manatee,S01-2016-P3,4,28,Sanibel,32.6,17.87,27.0,2.2,0
2016,S01,Manatee,S01-2016-P3,5,35,Sanibel,35.3,19.54,61.6,2.2,0
2016,S01,Manatee,S01-2016-P3,6,42,Sanibel,36.3,19.79,53.9,2.2,0
2016,S01,Manatee,S01-2016-P3,7,49,Sanibel,14.2,15.74,47.8,2.2,0
2016,S01,Manatee,S01-2016-P3,8,56,Sanibel,34.2,15.89,43.1,2.2,0
2016,S01,Manatee,S01-2016-P3,9,63,Sanibel,32.6,18.71,43.8,2.2,0
2016,S01,Manatee,S01-2016-P3,10,70,Sanibel,29.4,18.3,36.9,2.2,0
2016,S01,Manatee,S01-2016-P3,11,77,Sanibel,33.5,15.54,47.2,2.2,0
