year,site,county,plot,cultivar,transplant_source,wetness_hours,mean_temp_c,max_temp_c,rain_mm,inoculum_log,soil_ph,dist_to_road_m,final_severity,audpc
2016,S01,Manatee,S01-2016-P1,Sebring,regional,347.9,22.92,29.46,427.5,2.62,6.46,382.0,86.18,995.9
2016,S01,Manatee,S01-2016-P2,Sebring,certified,359.0,23.76,31.35,473.4,0.49,6.11,490.0,38.17,445.7
2016,S01,Manatee,S01-2016-P3,Sanibel,on-farm,379.4,22.09,28.8,511.1,2.2,6.43,54.0,26.2,276.5
2016,S01,Manatee,S01-2016-P4,Tygress,certified,360.8,23.92,31.53,410.0,2.98,6.62,167.0,79.07,785.6
2016,S01,Manatee,S01-2016-P5,Tygress,on-farm,386.9,22.93,29.98,614.7,2.89,6.04,103.0,64.9,725.9
2016,S01,Manatee,S01-2016-P6,Sebring,on-farm,354.7,23.13,30.62,361.6,3.17,6.5,84.0,93.03,961.6
2016,S02,Manatee,S02-2016-P1,HM-1823,regional,313.3,22.74,29.52,241.0,3.87,6.71,349.0,59.13,589.5
2016,S02,Manatee,S02-2016-P2,Sebring,on-farm,357.4,23.69,30.58,377.3,2.45,6.86,729.0,47.46,556.9
2016,S02,Manatee,S02-2016-P3,FL-8000,certified,294.7,23.12,30.03,172.1,,6.21,692.0,67.18,739.5
2016,S02,Manatee,S02-2016-P4,FL-8000,certified,311.3,23.34,29.9,633.2,3.45,5.42,822.0,67.88,845.6
2016,S02,Manatee,S02-2016-P5,Sebring,regional,332.4,23.12,28.95,456.5,3.56,7.34,67.0,60.37,807.8
2016,S02,Manatee,S02-2016-P6,Sebring,regional,283.5,23.55,30.18,218.0,1.96,6.79,472.0,27.56,386.7
2016,S03,Hillsborough,S03-2016-P1,HM-1823,certified,309.1,23.21,29.8,438.8,3.0,6.57,279.0,23.85,253.1
2016,S03,Hillsborough,S03-2016-P2,Sanibel,certified,308.0,23.47,29.74,279.8,3.0,6.38,236.0,43.65,394.2
2016,S03,Hillsborough,S03-2016-P3,Sanibel,certified,312.9,23.54,29.98,85.6,2.82,6.05,238.0,16.01,160.2
2016,S03,Hillsborough,S03-2016-P4,HM-1823,certified,296.2,22.9,29.39,254.5,4.08,6.1,312.0,37.46,464.9
2016,S03,Hillsborough,S03-2016-P5,Sebring,on-farm,322.3,23.48,30.32,425.4,2.02,5.98,520.0,79.18,978.8
2016,S03,Hillsborough,S03-2016-P6,FL-8000,certified,296.4,23.0,29.82,156.3,3.81,6.44,398.0,37.0,488.0
2016,S04,Hillsborough,S04-2016-P1,FL-8000,certified,356.2,24.1,31.17,553.6,3.13,6.37,679.0,32.41,356.5
2016,S04,Hillsborough,S04-2016-P2,Tygress,on-farm,347.5,23.71,31.28,477.3,3.37,7.0,617.0,75.6,836.4
2016,S04,Hillsborough,S04-2016-P3,Sanibel,regional,353.1,22.98,30.73,432.8,3.06,5.98,308.0,53.62,714.9
2016,S04,Hillsborough,S04-2016-P4,HM-1823,certified,365.1,24.25,30.99,401.1,3.88,6.67,359.0,61.86,672.3
2016,S04,Hillsborough,S04-2016-P5,Sanibel,on-farm,364.4,23.53,30.18,314.7,2.88,6.03,860.0,23.2,245.8
2016,S04,Hillsborough,S04-2016-P6,Sebring,certified,346.1,23.17,30.54,502.5,1.34,6.34,800.0,29.43,343.3
2016,S05,Collier,S05-2016-P1,FL-8000,certified,315.5,21.4,28.8,205.3,1.04,6.27,692.0,9.47,89.1
2016,S05,Collier,S05-2016-P2,Sebring,regional,333.4,21.5,29.29,391.7,2.62,6.17,508.0,59.36,544.0
2016,S05,Collier,S05-2016-P3,Sanibel,on-farm,324.1,22.08,29.5,413.4,2.44,6.51,592.0,47.25,527.0
2016,S05,Collier,S05-2016-P4,FL-8000,regional,321.5,21.53,29.06,281.8,2.61,5.42,125.0,28.34,320.5
2016,S05,Collier,S05-2016-P5,HM-1823,on-farm,322.2,21.67,28.36,327.0,2.3,6.16,584.0,28.36,278.2
2016,S05,Collier,S05-2016-P6,Sanibel,on-farm,314.4,22.25,29.01,549.6,2.74,5.89,858.0,24.85,229.6
2016,S06,Collier,S06-2016-P1,Tygress,on-farm,304.1,23.55,30.08,166.7,2.16,6.4,505.0,44.83,533.9
2016,S06,Collier,S06-2016-P2,FL-8000,on-farm,297.3,22.5,29.23,263.2,3.01,6.74,793.0,49.43,656.9
